pl_name,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,sy_dist
CoRoT-7 b,0.0169,1.861,6.99226,0.96,0.88,159.906
CoRoT-7 b,0.017016,1.585,5.74,0.82,0.91,159.906
CoRoT-7 b,0.0172,1.68,21.0,0.87,0.93,159.906
CoRoT-8 b,0.06339,6.389,69.28694,0.77,0.88,322.037
CoRoT-8 b,0.063,6.39,69.92,0.77,0.88,322.037
CoRoT-8 b,0.0633,7.981,68.65128,0.9,0.88,322.037
CoRoT-8 b,0.0636,6.938,69.28694,0.8,0.89,322.037
CoRoT-9 b,0.4021,11.949,266.9772,0.96,0.96,412.98
CoRoT-9 b,0.4027,11.624,262.52758,0.94,0.96,412.98
CoRoT-9 b,0.4029,11.949,268.88418,0.96,0.96,412.98
CoRoT-9 b,0.407,11.77,266.97,0.94,0.99,412.98
CoRoTID 223977153 b,0.071,6.389,47.6745,0.79,1.08,576.683
EPIC 211945201 b,0.148,6.12,27.0,1.38,1.18,181.69
EPIC 220674823 b,0.01326,1.725,8.21,0.99,0.95,244.59
EPIC 220674823 b,0.0116,1.52,8.36,0.87,0.94,244.59
EPIC 220674823 b,0.01312,1.82,9.0,0.95,0.92,244.59
EPIC 220674823 c,0.1083,2.836,8.9,0.99,0.95,244.59
EPIC 220674823 c,0.1071,2.77,5.7,0.95,0.92,244.59
EPIC 220674823 c,0.105,2.5,5.8,0.87,0.94,244.59
EPIC 229004835 b,0.1237,2.332,10.4,1.0,0.97,121.971
EPIC 246851721 b,0.07229,11.781,953.49,1.59,1.32,372.632
EPIC 248847494 b,4.5,12.442,4131.79,2.7,0.9,551.886
EPIC 249893012 b,0.047,1.95,8.75,1.71,1.05,321.296
EPIC 249893012 c,0.13,3.67,14.67,1.71,1.05,321.296
EPIC 249893012 d,0.22,3.94,10.18,1.71,1.05,321.296
G 9-40 b,0.0385,2.025,11.7,0.31,0.29,27.9276
GJ 1132 b,0.0157,1.192,1.83705,0.22,0.19,12.613
GJ 1132 b,0.01533,1.43,1.63,0.26,0.18,12.613
GJ 1132 b,0.0153,1.13,1.66,0.21,0.18,12.613
GJ 1214 b,0.0149,2.742,8.17,0.21,0.18,14.6427
GJ 1214 b,0.01411,2.847,6.26125,0.22,0.15,14.6427
GJ 1214 b,0.01505,2.733,8.41,0.22,0.18,14.6427
GJ 1252 b,0.00916,1.193,2.09,0.39,0.38,20.373
GJ 1252 b,0.00915,1.18,1.32,0.39,0.38,20.373
GJ 143 b,0.1915,2.61,22.7,0.69,0.73,16.32
GJ 3090 b,0.03165,2.13,3.34,0.52,0.52,22.4751
GJ 3470 b,0.0355,4.57,13.9,0.55,0.54,29.4214
GJ 3470 b,0.031,3.88,13.73,0.48,0.51,29.4214
GJ 3470 b,0.03557,4.83,13.9,0.57,0.54,29.4214
GJ 3470 b,0.0348,4.2,14.0,0.5,0.54,29.4214
GJ 3470 b,0.03596,4.32,14.1,0.53,0.56,29.4214
GJ 3473 b,0.01589,1.264,1.86,0.36,0.36,27.3644
GJ 357 b,0.035,1.217,1.84,0.34,0.34,9.44181
GJ 367 b,0.0071,0.718,0.546,0.46,0.45,9.41263
GJ 367 b,0.00709,0.699,0.633,0.46,0.46,9.41263
GJ 3929 b,0.02569,1.15,1.21,0.32,0.31,15.8095
GJ 3929 b,0.0252,1.09,1.75,0.32,0.31,15.8095
GJ 414 A b,0.2324,2.63,7.6,0.68,0.65,11.8893
GJ 414 A c,1.4,8.4,53.83,0.68,0.65,11.8893
GJ 436 b,0.0308,4.1,25.4,0.46,0.56,9.75321
GJ 436 b,0.02872,4.222,23.1688,0.46,0.45,9.75321
GJ 436 b,0.02887,4.091,23.42407,0.45,0.46,9.75321
GJ 436 b,0.0291,4.17,22.1,0.46,0.47,9.75321
GJ 486 b,0.01713,1.343,3.0,0.34,0.33,8.07426
GJ 486 b,0.01734,1.305,2.82,0.33,0.32,8.07426
GJ 486 b,0.01714,1.289,2.77,0.32,0.31,8.07426
GJ 806 b,0.01406,1.331,1.9,0.41,0.41,12.0445
GJ 9827 b,0.01888,1.62,3.42,0.61,0.61,29.661
GJ 9827 b,0.0188,1.577,4.91,0.6,0.61,29.661
GJ 9827 b,0.0189,1.44,4.28,0.58,0.62,29.661
GJ 9827 b,0.0206,1.58,3.69,0.62,0.64,29.661
GJ 9827 b,0.0188,1.577,5.14,0.6,0.61,29.661
GJ 9827 c,0.03925,1.241,1.3,0.6,0.61,29.661
GJ 9827 c,0.03942,1.269,2.42,0.61,0.61,29.661
GJ 9827 c,0.0395,1.13,1.86,0.58,0.62,29.661
GJ 9827 c,0.03925,1.241,0.84,0.6,0.61,29.661
GJ 9827 c,0.0429,1.24,1.45,0.62,0.64,29.661
GJ 9827 d,0.05591,2.022,4.04,0.6,0.61,29.661
GJ 9827 d,0.05615,2.07,5.2,0.61,0.61,29.661
GJ 9827 d,0.0563,1.89,3.02,0.58,0.62,29.661
GJ 9827 d,0.0559,2.022,3.53,0.6,0.61,29.661
GJ 9827 d,0.0611,2.04,2.35,0.62,0.64,29.661
GPX-1 b,0.0338,16.477,6261.21962,1.56,1.68,655.013
Gaia-1 b,0.04047,13.776,533.95172,0.95,0.95,363.66
Gaia-2 b,0.0467,14.818,259.66581,1.06,1.0,209.229
Gliese 12 b,0.067,0.9,10.0,0.27,0.24,12.21
Gliese 12 b,0.0668,0.958,3.87,0.26,0.24,12.21
HAT-P-1 b,0.05535,13.641,166.54292,1.11,1.13,158.979
HAT-P-1 b,0.05561,14.785,166.86075,1.17,1.15,158.979
HAT-P-1 b,0.0553,13.922,166.86075,1.14,1.13,158.979
HAT-P-1 b,0.0551,15.244,168.4499,1.15,1.12,158.979
HAT-P-1 b,0.0553,13.922,169.08556,1.14,1.13,158.979
HAT-P-11 b,0.05259,4.45,26.69772,0.69,0.81,37.7647
HAT-P-11 b,0.053,4.73,25.743,0.75,0.81,37.7647
HAT-P-11 b,0.05254,4.36,23.4,0.68,0.81,37.7647
HAT-P-12 b,0.0384,10.749,67.059,0.7,0.73,142.751
HAT-P-12 b,0.03838,10.749,66.23577,0.7,0.73,142.751
HAT-P-12 b,0.03767,10.301,63.88383,0.68,0.69,142.751
HAT-P-13 b,0.04383,16.668,285.72917,1.76,1.32,246.81
HAT-P-13 b,0.0427,14.359,271.098,1.56,1.22,246.81
HAT-P-13 b,0.0427,14.359,280.64389,1.56,1.22,246.81
HAT-P-14 b,0.06062,12.89,731.96249,1.47,1.39,222.663
HAT-P-14 b,0.0596,13.451,724.6524,1.53,1.32,222.663
HAT-P-14 b,0.0606,12.89,709.367,1.47,1.39,222.663
HAT-P-14 b,0.06108,13.664,721.79193,1.59,1.42,222.663
HAT-P-15 b,0.0964,12.016,618.471,1.08,1.01,192.516
HAT-P-15 b,0.0965,12.016,619.45067,1.08,1.01,192.516
HAT-P-16 b,0.04134,14.448,1341.56043,1.24,1.22,226.637
HAT-P-16 b,0.0413,14.448,1332.605,1.24,1.22,226.637
HAT-P-17 b,0.0882,11.321,170.67471,0.84,0.86,92.3831
HAT-P-17 b,0.0882,11.321,169.71,0.84,0.86,92.3831
HAT-P-18 b,0.05596,11.153,63.566,0.75,0.77,161.4
HAT-P-18 b,0.0559,11.153,62.61,0.75,0.77,161.4
HAT-P-18 b,0.0559,10.615,62.29468,0.72,0.77,161.4
HAT-P-19 b,0.04664,12.689,90.26372,0.82,0.84,202.078
HAT-P-19 b,0.04599,11.299,88.03847,0.77,0.81,202.078
HAT-P-19 b,0.0466,12.689,92.802,0.82,0.84,202.078
HAT-P-2 b,0.0688,12.969,2765.121,1.64,1.36,127.774
HAT-P-2 b,0.0677,11.007,2873.1832,1.47,1.3,127.774
HAT-P-2 b,0.0677,10.66,2739.6946,1.42,1.3,127.774
HAT-P-2 b,0.0679,11.243,2771.4776,1.51,1.31,127.774
HAT-P-2 b,0.0674,13.339,2777.8342,1.68,1.28,127.774
HAT-P-2 b,0.06878,12.969,2888.95,1.64,1.36,127.774
HAT-P-20 b,0.0361,9.718,2302.899,0.69,0.76,71.0374
HAT-P-20 b,0.03593,11.489,2294.7326,0.68,0.74,71.0374
HAT-P-20 b,0.03617,9.718,2310.6241,0.69,0.76,71.0374
HAT-P-21 b,0.0495,11.478,1261.7851,1.1,0.95,277.278
HAT-P-21 b,0.0494,11.478,1291.289,1.1,0.95,277.278
HAT-P-22 b,0.04142,12.106,690.32676,1.04,0.92,81.7647
HAT-P-22 b,0.0414,12.106,682.352,1.04,0.92,81.7647
HAT-P-22 b,0.04171,11.882,696.68336,1.06,0.94,81.7647
HAT-P-23 b,0.0232,15.334,664.237,1.2,1.13,364.813
HAT-P-23 b,0.02302,13.72,658.0,1.09,1.1,364.813
HAT-P-23 b,0.0232,15.334,626.1251,1.2,1.13,364.813
HAT-P-24 b,0.04651,13.922,229.79109,1.32,1.19,415.344
HAT-P-24 b,0.0465,13.922,217.704,1.32,1.19,415.344
HAT-P-24 b,0.0465,14.751,217.71355,1.32,1.19,415.344
HAT-P-25 b,0.0466,13.339,180.202,0.96,1.01,300.384
HAT-P-25 b,0.0466,12.722,180.84527,0.92,1.01,300.384
HAT-P-25 b,0.04659,13.339,180.20961,0.96,1.01,300.384
HAT-P-26 b,0.0479,6.333,18.751,0.79,0.82,141.837
HAT-P-27 b,0.03998,11.433,195.78328,0.87,0.92,199.173
HAT-P-27 b,0.04,11.43,197.05,0.86,0.92,199.173
HAT-P-27 b,0.0403,11.635,209.759,0.9,0.94,199.173
