pl_name,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,sy_dist
HATS-63 b,0.04026,13.529,305.1168,1.07,0.93,623.232
HATS-64 b,0.06562,18.82,305.1168,2.11,1.56,1080.15
HATS-65 b,0.04497,16.825,260.93843,1.31,1.26,493.32
HATS-66 b,0.04714,15.816,1694.0339,1.84,1.41,1477.98
HATS-67 b,0.03032,18.887,460.8535,1.44,1.44,960.109
HATS-68 b,0.05071,13.809,410.0007,1.75,1.35,603.955
HATS-69 b,0.03211,10.593,183.38791,0.88,0.89,414.537
HATS-7 b,0.04012,6.311,38.1396,0.81,0.85,240.707
HATS-7 b,0.04012,6.311,39.09309,0.81,0.85,240.707
HATS-70 b,0.03632,15.513,4100.007,1.88,1.78,1458.83
HATS-71 b,0.03745,11.478,117.5971,0.48,0.49,140.225
HATS-72 b,0.066517,8.097,39.85588,0.72,0.73,127.589
HATS-74 A b,0.02384,11.568,464.02947,0.58,0.6,299.389
HATS-75 b,0.032742,9.909,156.05375,0.58,0.6,194.964
HATS-76 b,0.02658,12.094,835.57088,0.63,0.66,385.689
HATS-77 b,0.03607,13.058,436.69623,0.64,0.66,436.176
HATS-8 b,0.04668,9.785,46.08535,1.09,1.06,794.637
HATS-8 b,0.04667,9.785,43.86054,1.09,1.06,794.637
HATS-9 b,0.03048,11.938,266.02371,1.5,1.03,638.7
HATS-9 b,0.03048,11.938,261.57409,1.5,1.03,638.7
HD 106315 b,0.0907,2.44,12.6,1.3,1.09,109.353
HD 106315 c,0.1536,4.35,15.2,1.3,1.09,109.353
HD 110067 b,0.0793,2.2,5.69,0.79,0.8,32.1585
HD 110067 c,0.1039,2.388,6.3,0.79,0.8,32.1585
HD 110067 d,0.1362,2.852,8.52,0.79,0.8,32.1585
HD 110067 e,0.1785,1.94,3.9,0.79,0.8,32.1585
HD 110067 f,0.2163,2.601,5.04,0.79,0.8,32.1585
HD 110067 g,0.2621,2.607,8.4,0.79,0.8,32.1585
HD 110113 b,0.035,2.05,4.55,0.97,1.0,106.307
HD 114082 b,0.5109,11.209,2542.62726,1.49,1.47,95.3906
HD 118203 b,0.07071,12.733,688.41633,2.1,1.25,92.2589
HD 118203 b,0.08635,12.061,725.28442,1.99,1.35,92.2589
HD 118203 b,0.0701,12.554,693.50158,2.03,1.22,92.2589
HD 135694 b,0.12,2.532,6.1,1.07,0.91,73.8713
HD 135694 b,0.12,2.51,5.7,1.05,0.9,73.8713
HD 136352 b,0.0969,1.482,4.62,1.01,0.91,14.682
HD 136352 b,0.0964,1.664,4.72,1.06,0.87,14.682
HD 136352 c,0.1721,2.916,11.24,1.06,0.87,14.682
HD 136352 c,0.1729,2.608,11.29,1.01,0.91,14.682
HD 136352 d,0.425,2.562,8.82,1.06,0.87,14.682
HD 137496 b,0.02732,1.31,4.04,1.59,1.04,155.317
HD 1397 b,0.1003,11.467,116.64361,2.34,1.26,79.5702
HD 1397 b,0.1097,11.5,131.89945,2.34,1.32,79.5702
HD 149026 b,0.04313,7.331,114.10097,1.37,1.29,75.8643
HD 149026 b,0.04288,6.837,113.14748,1.29,1.27,75.8643
HD 149026 b,0.04364,9.09,102.34126,1.53,1.34,75.8643
HD 149026 b,0.042,8.127,114.8,1.45,1.3,75.8643
HD 152843 b,0.1053,3.41,11.56,1.43,1.15,107.898
HD 15337 b,0.0522,1.64,7.51,0.86,0.9,44.8155
HD 15337 b,0.05245,1.699,7.2,0.84,0.85,44.8155
HD 15337 c,0.1235,2.522,8.79,0.84,0.85,44.8155
HD 15337 c,0.1268,2.39,8.11,0.86,0.9,44.8155
HD 17156 b,0.16278,12.184,1028.18005,1.5,1.27,78.0863
HD 17156 b,0.1637,11.938,1036.76146,1.49,1.3,78.0863
HD 17156 b,0.1614,11.43,1023.37,1.44,1.24,78.0863
HD 183579 b,0.1322,3.49,20.4,0.96,1.0,57.2651
HD 183579 b,0.13,3.53,11.2,0.97,1.03,57.2651
HD 183579 b,0.1334,3.55,19.7,0.98,1.03,57.2651
HD 18599 b,0.048,2.6,24.1,0.77,0.86,38.5653
HD 18599 b,0.05,2.7,25.5,0.8,0.81,38.5653
HD 189733 b,0.0313,14.12,365.49,0.76,0.82,19.7638
HD 189733 b,0.03099,12.756,363.582,0.76,0.81,19.7638
HD 189733 b,0.03142,12.902,365.5045,0.75,0.84,19.7638
HD 189733 b,0.03106,12.543,370.58978,0.77,0.81,19.7638
HD 189733 b,0.031,12.756,356.92309,0.76,0.81,19.7638
HD 191939 b,0.079,3.395,9.6,0.93,0.82,53.6089
HD 191939 b,0.078,3.39,10.4,0.94,0.81,53.6089
HD 191939 b,0.0804,3.41,10.0,0.94,0.81,53.6089
HD 191939 c,0.171,3.182,6.1,0.93,0.82,53.6089
HD 191939 c,0.17,3.08,7.2,0.94,0.81,53.6089
HD 191939 c,0.1752,3.195,8.0,0.94,0.81,53.6089
HD 191939 d,0.209,3.117,2.2,0.93,0.82,53.6089
HD 191939 d,0.2132,2.995,2.8,0.94,0.81,53.6089
HD 191939 d,0.207,3.04,5.8,0.94,0.81,53.6089
HD 202772 A b,0.05208,17.318,323.23311,2.59,1.72,161.498
HD 20329 b,0.018,1.72,7.42,1.13,0.9,63.6796
HD 207496 b,0.0629,2.25,6.1,0.77,0.8,23.606
HD 207897 b,0.117,2.343,14.8,0.78,0.82,28.2938
HD 207897 b,0.1163,2.501,14.4,0.78,0.8,28.2938
HD 209458 b,0.04747,15.468,226.93062,1.16,1.15,48.3016
HD 209458 b,0.046,15.92,197.05,1.15,1.03,48.3016
HD 209458 b,0.04707,15.233,217.704,1.16,1.12,48.3016
HD 209458 b,0.04707,15.233,216.76006,1.16,1.12,48.3016
HD 209458 b,0.049,15.805,235.1942,1.2,1.26,48.3016
HD 209458 b,0.0467,14.24,200.22,1.1,1.1,48.3016
HD 213885 b,0.02012,1.745,8.83,1.1,1.07,48.0883
HD 21520 b,0.1726,2.697,17.7,1.04,1.09,79.208
HD 21749 c,0.0695,0.892,3.7,0.69,0.73,16.32
HD 219134 b,0.0382,1.606,4.33612,0.78,0.78,6.53127
HD 219134 b,0.03876,1.602,4.74,0.78,0.81,6.53127
HD 219134 c,0.0653,1.511,4.36,0.78,0.81,6.53127
HD 219134 d,0.237,1.61,16.17,0.78,0.81,6.53127
HD 219134 f,0.1463,1.31,7.3,0.78,0.81,6.53127
HD 219666 b,0.06356,4.71,16.6,1.03,0.92,94.1719
HD 221416 b,0.1228,9.17,60.5,2.94,1.21,95.5483
HD 22946 d,0.2958,2.607,26.57,1.12,1.1,62.7792
HD 23472 b,0.1162,2.0,8.32,0.71,0.67,39.0341
HD 23472 b,0.121,1.872,17.92,0.73,0.75,39.0341
HD 23472 c,0.17,2.149,17.18,0.73,0.75,39.0341
HD 23472 c,0.1646,1.87,3.41,0.71,0.67,39.0341
HD 23472 d,0.04298,0.75,0.55,0.71,0.67,39.0341
HD 23472 e,0.068,0.818,0.72,0.71,0.67,39.0341
HD 23472 f,0.0906,1.137,0.77,0.71,0.67,39.0341
HD 235088 b,0.071,2.075,4.2,0.8,0.85,41.1706
HD 25463 b,0.076,2.545,8.7,1.42,1.25,45.6181
HD 25463 b,0.076,2.62,8.5,1.41,1.19,45.6181
HD 25463 c,0.0443,1.364,4.3,1.42,1.25,45.6181
HD 25463 c,0.0435,1.5,4.1,1.41,1.19,45.6181
HD 260655 b,0.02933,1.24,2.14,0.44,0.44,10.0055
HD 260655 c,0.04749,1.533,3.09,0.44,0.44,10.0055
HD 2685 b,0.0568,16.141,371.8611,1.56,1.43,196.852
HD 28109 b,0.1357,2.199,18.496,1.45,1.26,139.611
HD 28109 c,0.308,4.23,7.943,1.45,1.26,139.611
HD 28109 d,0.411,3.25,5.681,1.45,1.26,139.611
HD 3167 b,0.01802,1.627,4.73,0.87,0.85,47.2899
HD 3167 b,0.01815,1.7,5.02,0.86,0.86,47.2899
HD 3167 b,0.01752,1.574,5.69,0.83,0.88,47.2899
HD 3167 b,0.01796,1.67,4.97,0.88,0.84,47.2899
HD 3167 c,0.1783,2.923,10.67,0.87,0.85,47.2899
HD 3167 c,0.1776,3.0,11.13,0.88,0.84,47.2899
HD 3167 c,0.1806,2.74,8.33,0.83,0.88,47.2899
HD 3167 c,0.1795,3.01,9.8,0.86,0.86,47.2899
HD 332231 b,0.145,9.073,74.1,1.27,1.16,80.6665
HD 332231 b,0.1436,9.718,77.55052,1.28,1.13,80.6665
HD 42813 b,0.111,3.41,9.1,0.98,0.9,68.192
HD 42813 b,0.109,3.36,5.8,0.97,0.94,68.192
HD 42813 b,0.11,3.426,5.9,0.98,0.95,68.192
HD 42813 b,0.107,3.48,9.6,0.98,0.89,68.192
HD 5278 b,0.1202,2.45,7.8,1.19,1.13,57.5846
HD 6061 b,0.06,2.428,10.0,1.01,1.03,67.6203
HD 6061 b,0.059,2.45,10.8,1.03,1.0,67.6203
HD 63433 b,0.072,2.164,37.3,0.92,0.99,22.4035
HD 63433 c,0.146,2.582,17.2,0.92,0.99,22.4035
HD 63454 b,0.0368,12.31,126.0,1.05,0.84,37.6894
HD 63935 b,0.083,2.916,10.5,0.96,0.94,48.9739
HD 63935 c,0.148,3.065,11.1,0.96,0.94,48.9739
HD 73344 b,0.131,2.884,10.48,1.22,1.2,35.26
HD 73583 b,0.0604,2.79,10.2,0.65,0.73,31.5666
HD 73583 b,0.05995,2.84,15.9,0.68,0.7,31.5666
HD 73583 c,0.1233,2.73,22.5,0.68,0.7,31.5666
HD 73583 c,0.1242,2.39,9.7,0.65,0.73,31.5666
HD 77946 b,0.072,2.705,8.38,1.31,1.17,99.451
HD 77946 b,0.073,2.896,10.9,1.32,1.2,99.451
HD 80606 b,0.4564,11.243,1307.55262,1.04,1.02,66.4711
HD 80606 b,0.449,10.98,1252.2,0.98,0.97,66.4711
HD 80606 b,0.4565,11.243,1308.18828,1.04,1.02,66.4711
HD 80653 b,0.0166,1.613,5.6,1.22,1.18,109.86
HD 80653 b,0.01661,1.613,5.72,1.22,1.18,109.86
HD 86226 c,0.049,2.16,7.25,1.05,1.02,45.683
HD 88986 b,0.58,2.49,17.2,1.54,1.25,33.2673
HD 89345 b,0.1115,7.263,38.45743,1.73,1.32,132.345
HD 89345 b,0.105,6.86,35.7,1.66,1.12,132.345
HD 89345 b,0.1066,7.398,34.9613,1.75,1.16,132.345
HD 93963 A b,0.02085,1.35,7.8,1.04,1.11,82.3432
HD 93963 A b,0.02061,1.47,2.8,1.03,1.08,82.3432
HD 93963 A c,0.04726,3.12,18.4,1.03,1.08,82.3432
HD 93963 A c,0.04813,3.228,19.2,1.04,1.11,82.3432
HD 95338 b,0.262,3.89,42.44,0.87,0.83,36.9941
HD 97658 b,0.0796,2.341,7.86,0.7,0.75,21.5618
HD 97658 b,0.08,2.247,7.55,0.74,0.77,21.5618
HIP 116454 b,0.07765,2.53,10.1,0.72,0.76,62.4491
HIP 116454 b,0.0906,2.53,11.82,0.72,0.78,62.4491
HIP 116454 b,0.0792,2.469,9.7,0.76,0.8,62.4491
HIP 29442 c,0.04518,1.551,4.5,0.98,0.9,68.192
HIP 29442 c,0.0436,1.58,4.5,0.98,0.89,68.192
HIP 29442 d,0.0649,1.37,5.1,0.98,0.89,68.192
HIP 29442 d,0.0673,1.538,5.14,0.98,0.9,68.192
HIP 65 A b,0.01782,22.754,1021.18779,0.72,0.78,61.7856
HIP 65426 b,92.0,16.814,2860.47,1.77,1.96,108.875
HIP 8152 b,0.092,2.56,7.8,0.95,0.91,101.694
HIP 8152 b,0.093,2.536,8.9,0.96,0.94,101.694
HIP 8152 c,0.138,2.48,9.4,0.95,0.91,101.694
HIP 8152 c,0.139,2.524,10.7,0.96,0.94,101.694
HIP 94235 b,0.0787,3.0,379.0,1.08,1.09,58.5146
HIP 9618 b,0.145,3.828,8.3,0.96,0.94,67.5478
HIP 9618 b,0.1438,3.9,10.0,0.97,1.02,67.5478
HIP 9618 b,0.144,3.75,8.4,0.95,0.93,67.5478
HIP 9618 c,0.268,3.34,7.9,0.95,0.93,67.5478
HIP 9618 c,0.2669,3.343,18.3,0.97,1.02,67.5478
HIP 9618 c,0.269,3.429,7.0,0.96,0.94,67.5478
HIP 97166 b,0.091,2.48,19.1,0.84,0.93,65.9501
HIP 97166 b,0.089,2.74,20.0,0.84,0.9,65.9501
K2-100 b,0.0301,3.88,21.8,1.24,1.15,188.959
K2-105 b,0.081,3.59,30.0,0.95,1.01,197.989
K2-107 b,0.048,16.141,266.9772,1.78,1.3,685.2
K2-108 b,0.0573,5.28,59.4,1.75,1.12,477.295
K2-110 b,0.10207,2.592,15.9,0.71,0.74,116.474
K2-110 b,0.1021,2.592,16.7,0.71,0.74,116.474
K2-111 b,0.057,1.82,5.29,1.25,0.84,200.394
K2-111 b,0.0621,1.9,8.6,1.23,0.88,200.394
K2-111 b,0.0565,1.82,5.58,1.25,0.84,200.394
K2-113 b,0.0558,10.424,410.0007,1.05,1.01,635.722
K2-114 b,0.0943,10.447,638.8351,0.82,0.86,475.758
K2-114 b,0.09309,10.559,587.9855,0.83,0.83,475.758
K2-115 b,0.1367,12.498,266.9772,0.88,0.83,413.591
K2-12 b,0.0792,2.44,5.2,1.12,0.96,326.381
K2-131 b,0.00936,1.69,7.9,0.76,0.8,152.509
K2-132 b,0.086,14.572,155.7367,3.85,1.08,609.818
K2-132 b,0.0916,12.207,157.32585,4.11,1.19,609.818
K2-136 b,0.0707,1.014,4.3,0.68,0.74,59.2474
K2-136 c,0.1185,3.0,18.1,0.68,0.74,59.2474
K2-136 d,0.1538,1.565,3.0,0.68,0.74,59.2474
K2-137 b,0.0058,0.89,158.915,0.44,0.46,98.8765
K2-138 b,0.03385,1.51,3.1,0.86,0.94,202.585
K2-138 c,0.04461,2.299,6.31,0.86,0.94,202.585
K2-138 d,0.05893,2.39,7.92,0.86,0.94,202.585
K2-138 e,0.0782,3.39,12.97,0.86,0.94,202.585
K2-138 f,0.10447,2.904,1.63,0.86,0.94,202.585
K2-138 g,0.23109,3.013,4.32,0.86,0.94,202.585
K2-139 b,0.179,9.057,123.00021,0.86,0.92,153.856
K2-140 b,0.068,13.563,295.58042,1.06,0.96,347.917
K2-140 b,0.0591,12.274,323.86877,0.99,1.0,347.917
K2-141 b,0.00747,1.51,4.97,0.68,0.71,61.8736
K2-141 b,0.00716,1.54,5.31,0.67,0.66,61.8736
K2-141 c,0.0683,7.0,8.0,0.68,0.71,61.8736
K2-146 b,0.0248,2.25,5.6,0.35,0.36,79.3002
K2-146 c,0.0327,2.59,7.1,0.35,0.36,79.3002
K2-167 b,0.091,2.3,6.5,1.49,1.01,80.8994
K2-18 b,0.1429,2.37,8.92,0.41,0.36,38.0266
K2-18 b,0.143,2.38,7.96,0.41,0.36,38.0266
K2-18 b,0.1591,2.61,8.63,0.44,0.5,38.0266
K2-180 b,0.075,2.242,11.44182,0.69,0.71,203.896
K2-182 b,0.0526,2.69,20.0,0.79,0.86,154.83
K2-19 b,0.0762,7.46,44.0,0.91,0.95,289.827
K2-19 c,0.1001,4.51,15.9,0.91,0.95,289.827
K2-199 b,0.0382,1.73,6.9,0.68,0.71,107.518
K2-199 c,0.0662,2.85,12.4,0.68,0.71,107.518
K2-216 b,0.028,1.75,8.0,0.72,0.7,115.461
K2-22 b,0.0088,2.5,444.962,0.57,0.6,243.836
K2-222 b,0.1206,2.35,8.7,1.11,0.99,101.321
K2-229 b,0.012888,1.164,2.59,0.79,0.84,102.564
K2-229 c,0.07577,2.12,21.3,0.79,0.84,102.564
K2-232 b,0.0991,11.859,123.00021,1.23,1.04,130.72
K2-232 b,0.10356,11.209,126.49634,1.16,1.19,130.72
K2-233 b,0.03308,1.343,11.26,0.71,0.79,67.5062
K2-233 c,0.06666,1.281,12.81,0.71,0.79,67.5062
K2-233 d,0.15224,2.358,21.14,0.71,0.79,67.5062
K2-237 b,0.037,18.495,508.528,1.43,1.28,314.995
K2-237 b,0.0353,18.405,392.83788,1.38,1.23,314.995
K2-237 b,0.03558,16.197,433.20012,1.26,1.26,314.995
K2-238 b,0.046,14.572,273.3338,1.59,1.19,537.963
K2-24 b,0.154,5.68,21.0,1.21,1.12,170.562
K2-24 c,0.247,7.82,27.0,1.21,1.12,170.562
K2-25 b,0.0287,3.44,24.5,0.29,0.26,44.9565
K2-260 b,0.0404,17.396,451.3186,1.69,1.39,663.834
K2-261 b,0.1087,9.505,67.69745,1.64,1.27,213.283
K2-261 b,0.1034,9.528,59.75174,1.64,1.09,213.283
K2-261 b,0.102,9.528,70.87609,1.65,1.1,213.283
K2-263 b,0.2573,2.41,14.9,0.85,0.88,162.481
K2-263 b,0.2573,2.41,14.8,0.85,0.88,162.481
K2-265 b,0.03376,1.71,6.54,0.98,0.92,138.671
K2-266 b,0.01306,3.3,11.26782,0.7,0.69,77.5586
K2-266 c,0.0679,0.705,0.29013,0.7,0.69,77.5586
K2-266 d,0.1035,2.93,8.9,0.7,0.69,77.5586
K2-266 e,0.1249,2.73,14.3,0.7,0.69,77.5586
K2-27 b,0.06702,4.48,30.9,0.89,0.87,249.645
K2-280 b,0.1461,7.5,37.1,1.28,1.03,391.537
K2-285 b,0.03817,2.59,9.68,0.79,0.83,154.961
K2-285 c,0.0824,3.53,15.68,0.79,0.83,154.961
K2-285 d,0.1178,2.48,6.5,0.79,0.83,154.961
K2-285 e,0.18041,1.95,10.7,0.79,0.83,154.961
K2-287 b,0.1206,9.494,100.11645,1.07,1.06,158.335
K2-29 b,0.04217,13.339,232.0159,0.86,0.94,178.475
K2-29 b,0.04097,11.209,194.82979,0.75,0.86,178.475
K2-290 b,0.0923,3.06,10.9,1.51,1.19,272.909
K2-290 c,0.305,11.276,246.00042,1.51,1.19,272.909
K2-291 b,0.03261,1.589,6.49,0.9,0.93,90.0562
K2-292 b,0.13,2.63,24.5,1.09,1.0,114.293
K2-295 b,0.0451,10.054,106.47305,0.7,0.74,232.801
K2-3 b,0.0747,2.078,5.11,0.55,0.55,44.0727
K2-3 b,0.0775,2.078,8.4,0.55,0.61,44.0727
K2-3 b,0.0778,2.25,6.47,0.6,0.62,44.0727
K2-3 b,0.0777,2.29,6.6,0.6,0.62,44.0727
K2-3 c,0.1357,1.582,2.68,0.55,0.55,44.0727
K2-3 c,0.1413,1.77,3.1,0.6,0.62,44.0727
K2-3 c,0.1414,1.69,3.3,0.6,0.62,44.0727
K2-3 c,0.1405,1.644,2.1,0.55,0.61,44.0727
K2-3 d,0.2086,1.53,11.1,0.55,0.61,44.0727
K2-3 d,0.2014,1.458,2.2,0.55,0.55,44.0727
K2-3 d,0.2097,1.65,1.8,0.6,0.62,44.0727
K2-3 d,0.2097,1.62,1.6,0.6,0.62,44.0727
K2-30 b,0.04839,11.646,184.02357,0.84,0.9,333.042
K2-30 b,0.0419,11.982,187.20187,0.84,0.92,333.042
K2-30 b,0.04986,13.406,198.00809,0.94,0.98,333.042
K2-31 b,0.022,11.882,563.83042,0.78,0.91,110.527
K2-32 b,0.0795,5.299,15.0,0.86,0.83,157.682
K2-32 b,0.08036,5.13,16.5,0.84,0.86,157.682
K2-32 c,0.1399,3.01,12.1,0.84,0.86,157.682
K2-32 c,0.13843,3.134,8.1,0.86,0.83,157.682
K2-32 d,0.1862,3.43,10.3,0.84,0.86,157.682
K2-32 d,0.18422,3.484,6.7,0.86,0.83,157.682
K2-32 e,0.04899,1.212,2.1,0.86,0.83,157.682
K2-329 b,0.1016,8.676,82.6358,0.82,0.9,233.237
K2-33 b,0.0409,5.76,1144.188,1.1,0.31,139.268
K2-34 b,0.04419,15.132,559.3808,1.53,1.28,348.646
K2-34 b,0.0465,15.435,539.67534,1.58,1.23,348.646
K2-34 b,0.0445,16.141,563.51259,1.66,1.31,348.646
K2-36 b,0.0223,1.43,3.9,0.72,0.79,109.749
K2-36 b,0.02288,1.43,4.3,0.72,0.79,109.749
K2-36 c,0.054,3.2,7.8,0.72,0.79,109.749
K2-36 c,0.05528,3.2,7.9,0.72,0.79,109.749
K2-38 b,0.0503,1.655,7.7,1.14,1.05,192.69
K2-38 b,0.0506,1.55,12.0,1.1,1.07,192.69
K2-38 b,0.04994,1.54,7.3,1.06,1.03,192.69
K2-38 c,0.0964,2.42,9.9,1.1,1.07,192.69
K2-38 c,0.09514,2.29,8.3,1.06,1.03,192.69
K2-38 c,0.0959,2.49,7.4,1.14,1.05,192.69
K2-39 b,0.0574,5.71,39.8,2.93,1.19,307.47
K2-39 b,0.062,8.2,50.3,3.88,1.53,307.47
K2-415 b,0.027,1.015,7.5,0.2,0.16,21.8182
K2-416 b,0.088,2.66,1652.70772,0.55,0.55,120.311
K2-417 b,0.063,3.31,699.2225,0.58,0.57,94.0424
K2-419 A b,0.1208,10.55,196.0,0.54,0.56,268.685
K2-60 b,0.045,7.656,135.39558,1.12,0.97,491.87
K2-66 b,0.05983,2.49,21.3,1.67,1.11,513.877
K2-79 b,0.0988,4.09,9.2,1.26,1.07,256.011
K2-97 b,0.081,14.684,152.5584,4.2,1.16,878.43
K2-98 b,0.0943,4.3,32.2,1.31,1.07,518.625
K2-99 b,0.159,14.46,308.2951,3.1,1.6,519.229
KELT-1 b,0.02466,12.442,8654.15,1.46,1.32,268.43
KELT-10 b,0.0525,15.681,215.80657,1.21,1.11,188.404
KELT-11 b,0.06229,15.356,61.97685,2.72,1.44,99.1596
KELT-12 b,0.06708,19.952,301.9385,2.37,1.59,368.03
KELT-14 b,0.02956,17.038,380.12468,1.37,1.18,250.121
KELT-14 b,0.03005,19.537,408.09372,1.52,1.24,250.121
KELT-15 b,0.04613,16.175,289.2253,1.48,1.18,324.683
KELT-16 b,0.02044,15.861,874.0325,1.36,1.21,444.586
KELT-17 b,0.04881,17.094,416.3573,1.65,1.64,226.5
KELT-18 b,0.0455,17.598,375.0394,1.91,1.52,321.376
KELT-19 A b,0.0637,21.409,1293.5681,1.83,1.62,300.276
KELT-2 A b,0.05496,14.415,483.717,1.83,1.31,134.058
KELT-2 A b,0.05497,14.46,485.32641,1.83,1.31,134.058
KELT-20 b,0.0542,19.515,1074.90106,1.56,1.76,136.426
KELT-20 b,0.057,20.512,5403.11,1.6,1.89,136.426
KELT-21 b,0.05224,17.777,1242.7153,1.64,1.46,470.878
KELT-23 A b,0.03302,14.83,298.12454,1.0,0.94,126.261
KELT-24 b,0.06969,14.258,1646.3594,1.51,1.46,96.5173
KELT-24 b,0.067,15.244,1334.87931,1.52,1.3,96.5173
KELT-24 b,0.0665,12.711,1458.83239,1.34,1.27,96.5173
KELT-3 b,0.04123,15.076,469.75274,1.47,1.28,210.252
KELT-3 b,0.04122,15.076,469.415,1.47,1.28,210.252
KELT-4 A b,0.04317,19.044,286.68266,1.6,1.2,218.05
KELT-6 b,0.0804,13.227,140.48086,1.53,1.13,240.726
KELT-6 b,0.08,13.227,141.0,1.53,1.13,240.726
KELT-6 b,0.07939,13.372,136.661,1.58,1.08,240.726
KELT-7 b,0.04415,17.183,406.8224,1.73,1.53,136.681
KELT-8 b,0.0455,20.849,272.69814,1.67,1.21,197.572
KELT-8 b,0.04571,20.849,275.55861,1.67,1.21,197.572
KELT-9 b,0.03462,21.196,915.3504,2.36,2.52,204.455
KOI-12 b,0.154,13.787,349.613,1.4,1.5,399.398
KOI-12 b,0.151,16.029,3178.3,1.63,1.45,399.398
KOI-13 b,0.03641,16.948,2949.4624,1.74,1.72,519.096
KOI-1599.01,0.14728,1.9,4.6,0.97,1.02,1131.64
KOI-1599.02,0.112293,1.9,9.0,0.97,1.02,1131.64
KOI-2513.01,0.5,2.802,7310.05336,1.2,0.91,1369.87
KOI-3680 b,0.534,11.097,613.4119,0.96,1.01,921.986
KOI-4777.01,0.008,0.51,99.2,0.4,0.41,172.245
KOI-55 b,0.006,0.759,0.44,0.2,0.5,1231.02
KOI-55 c,0.0076,0.867,0.655,0.2,0.5,1231.02
KOI-94 b,0.05119,1.71,10.5,1.52,1.28,477.052
KOI-94 c,0.1013,4.32,15.6,1.52,1.28,477.052
KOI-94 d,0.1684,11.27,106.0,1.52,1.28,477.052
KOI-94 e,0.3046,6.56,35.0,1.52,1.28,477.052
KPS-1 b,0.0269,11.545,346.4347,0.91,0.89,262.706
Kepler-10 b,0.0172,1.481,4.60853,1.06,0.91,185.506
Kepler-10 b,0.01685,1.47,3.33,1.06,0.91,185.506
Kepler-10 b,0.01685,1.47,3.72,1.06,0.91,185.506
Kepler-10 b,0.01684,1.416,4.56,1.06,0.9,185.506
Kepler-10 b,0.01685,1.47,3.26,1.06,0.91,185.506
Kepler-10 b,0.01687,1.46,4.6,1.06,0.91,185.506
Kepler-10 c,0.241,2.355,11.4,1.06,0.91,185.506
Kepler-10 c,0.2407,2.227,20.0,1.06,0.9,185.506
Kepler-10 c,0.241,2.35,13.98,1.06,0.91,185.506
Kepler-101 b,0.0474,5.77,51.1,1.56,1.17,927.981
Kepler-101 c,0.0684,1.25,3.78,1.56,1.17,927.981
Kepler-102 b,0.05521,0.46,1.1,0.72,0.8,107.796
Kepler-102 c,0.06702,0.567,1.7,0.72,0.8,107.796
Kepler-102 d,0.08618,1.154,3.0,0.72,0.8,107.796
Kepler-102 e,0.1162,2.17,4.7,0.72,0.8,107.796
Kepler-102 f,0.1656,0.861,4.3,0.72,0.8,107.796
Kepler-103 b,0.13223,3.486,9.8,1.49,1.21,494.832
Kepler-103 c,0.6639,5.45,38.0,1.49,1.21,494.832
Kepler-107 b,0.04544,1.536,3.51,1.45,1.24,525.997
Kepler-107 b,0.04544,1.536,3.8,1.45,1.24,525.997
Kepler-107 c,0.06064,1.597,10.0,1.45,1.24,525.997
Kepler-107 c,0.06064,1.597,9.39,1.45,1.24,525.997
Kepler-107 d,0.08377,0.86,3.8,1.45,1.24,525.997
Kepler-107 d,0.08377,0.86,7.7,1.45,1.24,525.997
Kepler-107 e,0.12639,2.903,8.6,1.45,1.24,525.997
Kepler-107 e,0.12638,2.903,14.1,1.45,1.24,525.997
Kepler-109 b,0.0701,2.49,4.9,1.39,1.09,474.861
Kepler-109 c,0.1546,2.65,8.2,1.39,1.09,474.861
Kepler-11 b,0.091,1.97,4.3,1.1,0.95,646.346
Kepler-11 b,0.091,1.8,1.9,1.06,0.96,646.346
Kepler-11 c,0.106,3.15,13.5,1.1,0.95,646.346
Kepler-11 c,0.107,2.87,2.9,1.06,0.96,646.346
Kepler-11 d,0.155,3.12,7.3,1.06,0.96,646.346
Kepler-11 d,0.159,3.43,6.1,1.1,0.95,646.346
Kepler-11 e,0.194,4.52,8.4,1.1,0.95,646.346
Kepler-11 e,0.195,4.19,8.0,1.06,0.96,646.346
Kepler-11 f,0.25,2.49,2.0,1.06,0.96,646.346
Kepler-11 f,0.25,2.61,2.3,1.1,0.95,646.346
Kepler-11 g,0.462,3.66,300.0,1.1,0.95,646.346
Kepler-11 g,0.466,3.33,25.0,1.06,0.96,646.346
Kepler-111 c,0.751,7.084,222.47988,1.15,1.12,657.223
Kepler-117 b,0.1445,8.059,29.875,1.61,1.13,1455.57
Kepler-117 c,0.2804,12.341,584.78,1.61,1.13,1455.57
Kepler-12 b,0.0556,18.999,136.979,1.48,1.17,881.386
Kepler-12 b,0.0555,19.123,136.6669,1.49,1.16,881.386
Kepler-12 b,0.0553,19.661,137.30256,1.48,1.17,881.386
Kepler-12 b,0.05563,18.999,137.62039,1.48,1.17,881.386
Kepler-129 b,0.13,2.4,20.0,1.65,1.18,408.845
Kepler-129 c,0.39,2.52,43.0,1.65,1.18,408.845
Kepler-138 b,0.076,0.701,0.187,0.58,0.55,66.8624
Kepler-138 b,0.0753,0.64,0.07,0.54,0.54,66.8624
Kepler-138 c,0.0913,1.51,2.3,0.54,0.54,66.8624
Kepler-138 c,0.0922,1.67,5.2,0.58,0.55,66.8624
